EXP_ID,Torque,RPM,Power,Frecuencia,Caudal
01_30_HZ,0.20132434368133545,802,16.9082737700355,30,8.594195142857147
02_30_HZ,0.20132434368133545,805,16.971521676906,30,8.583721590909096
03_30_HZ,0.19886988401412964,803,16.722961490607698,30,8.590709158008663
04_30_HZ,0.19886988401412964,798,16.6188334614009,30,8.608087090909095
05_30_HZ,0.19810102880001068,790,16.3886214854535,30,8.635621428571433
06_30_HZ,0.19810102880001068,787,16.3263862139898,30,8.645861019480524
07_30_HZ,0.19969789683818817,787,16.4579916559297,30,8.645861019480524
08_30_HZ,0.19969789683818817,789,16.4998162852967,30,8.63903982467533
09_30_HZ,0.20040760934352875,792,16.6214161461996,30,8.628769038961043
10_30_HZ,0.20040760934352875,793,16.642402782747897,30,8.62533504545455
11_30_HZ,0.19845588505268097,794,16.5011076276961,30,8.621895852813857
12_30_HZ,0.19845588505268097,798,16.5842366333772,30,8.608087090909095
13_30_HZ,0.19978660345077515,802,16.7791271431199,30,8.594195142857147
14_30_HZ,0.19978660345077515,802,16.7791271431199,30,8.594195142857147
15_30_HZ,0.20040760934352875,803,16.8522691482302,30,8.590709158008663
16_30_HZ,0.20040760934352875,802,16.831282511681998,30,8.594195142857147
17_30_HZ,0.19851502776145935,798,16.5891790373806,30,8.608087090909095
18_30_HZ,0.19851502776145935,797,16.568390592471598,30,8.611547080086584
19_30_HZ,0.19848544895648956,798,16.5867078353789,30,8.608087090909095
20_30_HZ,0.19848544895648956,798,16.5867078353789,30,8.608087090909095
21_30_HZ,0.20079204440116882,798,16.7794615915111,30,8.608087090909095
22_30_HZ,0.20079204440116882,797,16.7584346972861,30,8.611547080086584
23_30_HZ,0.20185662806034088,794,16.783871355484,30,8.621895852813857
24_30_HZ,0.20185662806034088,792,16.74159460144,30,8.628769038961043
25_30_HZ,0.19889946281909943,790,16.4546750427168,30,8.635621428571433
26_30_HZ,0.19889946281909943,790,16.4546750427168,30,8.635621428571433
27_30_HZ,0.20046676695346832,791,16.6053285592338,30,8.632197833333338
28_30_HZ,0.20046676695346832,791,16.6053285592338,30,8.632197833333338
29_30_HZ,0.19949088990688324,790,16.5036036036527,30,8.635621428571433
30_30_HZ,0.19949088990688324,790,16.5036036036527,30,8.635621428571433
31_30_HZ,0.1995796114206314,792,16.5527427432052,30,8.628769038961043
32_30_HZ,0.1995796114206314,795,16.6154425263234,30,8.618451461038966
33_30_HZ,0.19884032011032104,800,16.6580072775932,30,8.60115151515152
34_30_HZ,0.19884032011032104,801,16.678829786690198,30,8.597675928571434
35_30_HZ,0.19792358577251434,801,16.6019345274118,30,8.597675928571434
36_30_HZ,0.19792358577251434,803,16.643387547455298,30,8.590709158008663
37_30_HZ,0.19952046871185303,800,16.714987373872898,30,8.60115151515152
38_30_HZ,0.19952046871185303,795,16.610518702786198,30,8.618451461038966
39_30_HZ,0.19913603365421295,793,16.536806896713102,30,8.62533504545455
40_30_HZ,0.19913603365421295,797,16.6202208028756,30,8.611547080086584
41_30_HZ,0.19999361038208008,796,16.6708525732111,30,8.615001870129875
42_30_HZ,0.19999361038208008,795,16.6499092910839,30,8.618451461038966
43_30_HZ,0.1999049037694931,797,16.6843915395661,30,8.611547080086584
44_30_HZ,0.1999049037694931,798,16.7053255314602,30,8.608087090909095
45_30_HZ,0.1995796114206314,803,16.782641947972,30,8.590709158008663
46_30_HZ,0.1995796114206314,806,16.845341731090198,30,8.580220008658014
47_30_HZ,0.20005275309085846,802,16.8014794439322,30,8.594195142857147
48_30_HZ,0.20005275309085846,800,16.7595804927005,30,8.60115151515152
49_30_HZ,0.19889946281909943,797,16.6004759608169,30,8.611547080086584
50_30_HZ,0.19889946281909943,794,16.5379898530597,30,8.621895852813857
51_30_HZ,0.19978660345077515,794,16.611754303787,30,8.621895852813857
52_30_HZ,0.19978660345077515,797,16.6745191185368,30,8.611547080086584
53_30_HZ,0.19919517636299133,796,16.604297343360898,30,8.615001870129875
54_30_HZ,0.19919517636299133,800,16.6877360234783,30,8.60115151515152
55_30_HZ,0.19813059270381927,797,16.5363052241263,30,8.611547080086584
56_30_HZ,0.19813059270381927,794,16.4740606624294,30,8.621895852813857
57_30_HZ,0.19561699032783508,792,16.2240914574459,30,8.628769038961043
58_30_HZ,0.19561699032783508,794,16.2650613853688,30,8.621895852813857
59_30_HZ,0.19600142538547516,794,16.297025980683898,30,8.621895852813857
60_30_HZ,0.19600142538547516,797,16.3586016455984,30,8.611547080086584
61_30_HZ,0.19724343717098236,798,16.4829173513077,30,8.608087090909095
62_30_HZ,0.19724343717098236,797,16.4622620664063,30,8.611547080086584
63_30_HZ,0.19644500315189362,794,16.3339082060475,30,8.621895852813857
64_30_HZ,0.19644500315189362,793,16.313336533243902,30,8.62533504545455
65_30_HZ,0.19316254556179047,793,16.0407518041773,30,8.62533504545455
66_30_HZ,0.19316254556179047,790,15.9800680016394,30,8.635621428571433
67_30_HZ,0.18908163905143738,789,15.6226603477251,30,8.63903982467533
68_30_HZ,0.18908163905143738,789,15.6226603477251,30,8.63903982467533
69_30_HZ,0.18420231342315674,784,15.123062579638,30,8.656053818181823
70_30_HZ,0.18420231342315674,783,15.1037729590007,30,8.659441019480523
71_30_HZ,0.17627708613872528,779,14.3801009622937,30,8.672937833333338
